#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,w1,oiii_5007_flux,h_alpha_flux,h_beta_flux,nii_6584_flux,H_FWHM,forbidden_FWHM,class,subclass,w1mpro,w2mpro,w3mpro,wise_cntr,sdss_objid,specobjid
162.991783464768,3.7920718355633,162.9918484,3.7921216,15.45285,10.462,366.3863,5959.053,1414.765,2818.417,192.8372,200.7997,GALAXY,STARFORMING,10.462,10.365,6.681,1625104501241001542,1237654604253233254,651918900153313280
205.213157485076,24.4732934090605,205.2131694,24.4733613,16.43209,11.322,106.8847,318.1252,86.50205,398.0862,224.1063,290.7232,GALAXY,AGN,11.322,11.289,8.036,2047124201241026625,1237667448348475437,3001751477191469056
175.998219163269,19.7789674583829,175.9982263,19.7790232,16.63789,11.66,38.75773,112.8104,59.89264,69.03981,332.756,318.9918,GALAXY,,11.66,11.747,10.497,1760119601241018405,1237668293912690907,2821646523903797248
142.77814346266,49.0797609269233,142.7782086,49.0798142,16.34194,11.264,570.897,2560.91,500.8777,2030.835,394.6638,432.0737,GALAXY,STARFORMING,11.264,10.557,6.391,1417148401241029653,1237657770707451937,1013481209335932928
232.437521589016,42.9186472458444,232.4376513,42.9186407,16.07189,10.615,201.1432,432.9888,106.6309,737.5605,258.3769,273.6193,GALAXY,AGN,10.615,10.613,8.366,2325142401241041576,1237662303514525759,1184523709185026048
204.088269400482,3.33085584879522,204.0883499,3.3309219,15.85257,10.909,258.7959,532.2633,151.3136,690.7801,476.1132,440.8573,GALAXY,AGN BROADLINE,10.909,10.991,10.181,2042103001241028288,1237671956981153874,594596955649239040
125.469747729424,41.8624731028043,125.4698146,41.8625082,16.88099,12.42,99.20126,1376.463,369.6912,457.9238,142.3864,164.8128,GALAXY,STARFORMING,12.42,12.334,8.878,1253142401241002945,1237673704507834455,855834600277043200
124.771254281659,21.7913993918748,124.7712326,21.7913669,16.60835,11.466,220.357,1973.538,441.7253,739.242,130.2626,142.6522,GALAXY,STARFORMING,11.466,11.35,7.122,1243121201241033958,1237664092359688262,2168539076444055552
166.374296711836,3.65997371640394,166.3741889,3.6600724,16.40541,12.726,463.7224,1212.021,359.2458,434.6016,153.9799,159.5289,GALAXY,STARFORMING,12.726,12.696,9.773,1663103001241030812,1237654599959904381,654214405856192512
28.6710165027204,-0.143361716844596,28.6709542,-0.1432924,16.22812,10.961,224.9048,244.9906,100.7597,243.7554,330.79,399.9366,GALAXY,BROADLINE,10.961,11.096,10.445,287100001241019421,1237666407918075971,453810811371022336
120.087455422502,26.613560353963,120.0874154,26.6135288,16.08386,10.289,4072.924,2085.451,389.5215,2478.793,391.3622,391.6914,GALAXY,AGN,10.289,9.569,6.553,1200127201241002881,1237657878077702182,1046000089421604864
13.7873331391811,-1.04647244135417,13.7873316,-1.0464267,16.76742,11.899,33.14077,70.38925,30.62161,99.2342,387.0951,376.4538,GALAXY,BROADLINE,11.899,11.948,10.647,136001601241024716,1237666338113978453,443609543193159680
36.9643375032324,0.50154588915707,36.9642914,0.5015126,17.70777,12.09,21.71961,92.536,17.54804,67.01106,370.6112,435.3088,GALAXY,BROADLINE,12.09,12.146,9.81,363100001241033797,1237663784750416117,2968028903328737280
115.631553688558,27.638577861659,115.6315868,27.6385945,16.94602,12.343,1743.406,5878.867,1661.83,1554.088,140.7431,136.0805,GALAXY,STARBURST,12.343,12.096,7.87,1149127201241030204,1237657118940594396,1192412982542362624
138.398290201464,12.4408054575536,138.3983333,12.4408725,15.98407,10.814,149.7898,221.9852,52.08299,264.4351,178.4475,229.3009,GALAXY,BROADLINE,10.814,10.77,7.637,1390112101241022865,1237671261737779323,2900491676537612288
